INFO  - 2017-10-25 09:42:48.491; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-10-25 09:42:48.495; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2017-10-25 09:42:48.567; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-10-25 09:42:48.571; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/nsparks/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2017-10-25 09:42:48.602; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-10-25 09:42:48.919; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-10-25 09:42:48.927; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2017-10-25 09:42:48.928; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2017-10-25 09:42:49.001; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-10-25 09:42:49.006; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-10-25 09:42:49.085; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/nsparks/solr-4.10.4/example/solr/collection1/
INFO  - 2017-10-25 09:42:49.099; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-10-25 09:42:49.103; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/nsparks/solr-4.10.4/example/solr/collection1/, dataDir=/home/nsparks/solr-4.10.4/example/solr/collection1/data/
INFO  - 2017-10-25 09:42:49.105; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
